"model","label","horizon","mean_check_loss","quantile_coverage","n_exceedances","CRPS","interval_score","coverage","mean_interval_width"
"M0_no_transfer","M0 no transfer",18,0.118543263791549,0.111111111111111,16,0.496368775463825,8.64808532915728,0.833333333333333,1.85080294046516
"MTF_transfer_function","MTF transfer function",18,0.16449047942135,0,18,0.595249538524479,8.14528813326497,0.833333333333333,2.30879143308311
"MREG_direct_regression","MREG direct regression",18,0.118556166894353,0,18,0.405793105341837,2.96149716834253,0.944444444444444,2.88926940422651
