"lambda","KL","CRPS","pplc","runtime","iter","converged","status","error_message","seed","selected_by_CRPS"
0.3,0.208829683191949,0.376605927018608,171.453501707975,388.31,500,FALSE,"ok","",20263820,FALSE
0.325,0.199089256391597,0.376331966762619,170.362526769774,389.173,500,FALSE,"ok","",20263821,FALSE
0.35,0.213464714428417,0.376886045424461,170.837599865879,387.656,500,FALSE,"ok","",20263822,FALSE
0.375,0.233324037616848,0.375428127611431,170.487305494898,386.96,500,FALSE,"ok","",20263823,FALSE
0.4,0.222397191141156,0.374817354939816,170.177456379325,387.844,500,FALSE,"ok","",20263824,TRUE
0.425,0.214717593458305,0.375086674797946,169.987009897115,386.857,500,FALSE,"ok","",20263825,FALSE
0.45,0.215666853098554,0.375813240552487,169.360780436861,387.500999999999,500,FALSE,"ok","",20263826,FALSE
0.475,0.228147590158666,0.375696507395778,169.650012584522,387.601000000001,500,FALSE,"ok","",20263827,FALSE
0.5,0.245274917122831,0.375924831762715,168.557595765554,387.893,500,FALSE,"ok","",20263828,FALSE
