"kernel","n_chains","n_burn","n_mcmc","runtime_total_sec","runtime_mean_sec","sigma_mean","sigma_q025","sigma_q975","gamma_mean","gamma_q025","gamma_q975","sigma_rhat","gamma_rhat","sigma_ess","gamma_ess","chain_mean_sigma_sd","chain_mean_gamma_sd","accept_total_mean","accept_total_min","accept_total_max","vb_init_method"
"slice",4,1000,500,88.7190000000001,22.17975,0.374368063015417,0.290264960644724,0.471041988860482,-0.0444518321282166,-0.452426663202037,0.292597696133195,1.0038435262781,1.04443583275844,505.829904839961,77.7546396834102,0.00380477313498399,0.0408306023514278,NA,NA,NA,"ldvb"
"laplace_rw",4,1000,500,67.2199999999999,16.805,0.365295097131668,0.228968433020431,0.470690430180111,-0.0824633470795819,-0.624768420593705,0.389662836074622,1.15564748764034,1.33212163429427,132.521429207732,25.3978339892021,0.0219879877772897,0.126850853430216,0.346833333333333,0.324,0.362666666666667,"ldvb"
