"seed","pass","fail_reason","target_p0","target_mcmc_truth_cover_n","target_mcmc_truth_cover_total","target_mcmc_truth_cover_all","target_mcmc_active_rmse","target_mcmc_holdout_rmse","target_mcmc_runtime_sec","target_mcmc_topk_support_ok","target_mcmc_sign_support_ok","selected"
20260711,TRUE,"",0.5,8,8,TRUE,0.114920389505587,0.352365588499928,220.656,TRUE,TRUE,FALSE
20260712,FALSE,"mcmc_truth_coverage_7_of_8_at_p0_0.50",0.5,7,8,FALSE,0.178954198570032,0.369704955447101,217.72,TRUE,TRUE,FALSE
20260713,FALSE,"Example 4 LDVB did not converge at p0=0.05 (iter=420, stop=max_iter).",0.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
20260714,FALSE,"mcmc_truth_coverage_7_of_8_at_p0_0.50",0.5,7,8,FALSE,0.0711797960845319,0.378493498695264,210.888,TRUE,TRUE,FALSE
20260715,TRUE,"",0.5,8,8,TRUE,0.038701234430214,0.346579723005222,201.934,TRUE,TRUE,FALSE
20260716,TRUE,"",0.5,8,8,TRUE,0.116926776184314,0.415593387665773,135.245,TRUE,TRUE,FALSE
20260717,TRUE,"",0.5,8,8,TRUE,0.164235214532618,0.451212047471833,148.689,TRUE,TRUE,FALSE
20260718,TRUE,"",0.5,8,8,TRUE,0.0131562537714041,0.367365030866576,155.255,TRUE,TRUE,TRUE
