"method","lower_95","median","upper_95","mean","sd","n_draws"
"ISVB",-3.87713443227152,-3.85115645811714,-3.82539597620911,-3.8521599061078,0.0129655672949095,200
"LDVB",-0.93228066163783,-0.932280631945665,-0.932280603734516,-0.932280633452974,1.517225915402e-08,200
