"seed","p0","status","error","ldvb_runtime_sec","mcmc_runtime_sec","runtime_ratio","ldvb_active_rmse","mcmc_active_rmse","active_ratio","ldvb_holdout_rmse","mcmc_holdout_rmse","holdout_ratio","ldvb_check_loss","mcmc_check_loss","check_ratio","ldvb_topk_support_ok","ldvb_sign_support_ok","mcmc_topk_support_ok","mcmc_sign_support_ok","ldvb_truth_cover_n","ldvb_truth_cover_total","ldvb_truth_cover_all","mcmc_truth_cover_n","mcmc_truth_cover_total","mcmc_truth_cover_all"
20260711,0.05,"ok","",32.303,222.307,0.145308064973213,0.068255358752426,0.0377305064520434,1.80902312666226,0.556939387837974,0.429857172607128,1.29563823364882,0.177518411951426,0.171211758712729,1.0368353977911,TRUE,TRUE,TRUE,TRUE,8,8,TRUE,8,8,TRUE
20260711,0.25,"ok","",15.462,202.456,0.0763721499980242,0.122649446112358,0.108715638991437,1.12816745824416,0.30497003123834,0.280982911988524,1.08536860508726,0.493538017319819,0.491872814823568,1.00338543307552,TRUE,TRUE,TRUE,TRUE,8,8,TRUE,8,8,TRUE
20260711,0.5,"ok","",9.048,220.656,0.0410050032629976,0.136612937767131,0.114920389505587,1.1887615274789,0.41469479607232,0.352365588499928,1.17688789599954,0.586041134750971,0.581247853706015,1.00824653547432,TRUE,TRUE,TRUE,TRUE,3,8,FALSE,8,8,TRUE
20260712,0.05,"ok","",26.581,208.702,0.127363417696045,0.083407069828506,0.0613698941620364,1.35908772480989,0.667245520231659,0.554036671605172,1.20433457644328,0.17316192507895,0.168138184425015,1.02987864220798,TRUE,TRUE,TRUE,TRUE,8,8,TRUE,8,8,TRUE
20260712,0.25,"ok","",16.521,207.942,0.0794500389531694,0.129634826228347,0.136049482897193,0.952850561926114,0.377869610579768,0.342322411247679,1.10384128577071,0.468760362737401,0.465896373276757,1.00614726712831,TRUE,TRUE,TRUE,TRUE,6,8,FALSE,8,8,TRUE
20260712,0.5,"ok","",8.87300000000005,217.72,0.0407541796803236,0.194086340054888,0.178954198570032,1.08455873964273,0.432291702679361,0.369704955447101,1.16928836443799,0.62712065285127,0.62065964639685,1.01040990258015,TRUE,TRUE,TRUE,TRUE,5,8,FALSE,7,8,FALSE
20260713,NA,"error","Example 4 LDVB did not converge at p0=0.05 (iter=420, stop=max_iter).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260714,0.05,"ok","",26.77,209.404,0.127839009761036,0.152700117263532,0.178599403147168,0.854986716488099,0.471160728353023,0.448258140872304,1.05109240723693,0.157881774808841,0.157533389254764,1.00221150294376,TRUE,TRUE,TRUE,TRUE,6,8,FALSE,8,8,TRUE
20260714,0.25,"ok","",14.876,201.589,0.0737937089821368,0.0238909162064168,0.0132377570728524,1.8047555998298,0.239003017926844,0.214436611595582,1.11456255603215,0.485326589680837,0.484679317799815,1.00133546420747,TRUE,TRUE,TRUE,TRUE,8,8,TRUE,8,8,TRUE
20260714,0.5,"ok","",8.07600000000002,210.888,0.0382952088312281,0.0832853879409217,0.0711797960845319,1.17007061725793,0.396665859914088,0.378493498695264,1.04801234705872,0.64835800415288,0.646670247563929,1.00260991841717,TRUE,TRUE,TRUE,TRUE,7,8,FALSE,7,8,FALSE
