"kernel","chain","seed","runtime_sec","sigma_mean","sigma_q025","sigma_q975","gamma_mean","gamma_q025","gamma_q975","accept_total","accept_burn","accept_keep","vb_init_method"
"slice",1,20261403,93.545,0.36622025702671,0.255477456346888,0.462185088823054,-0.0861450380311589,-0.606238321940253,0.252278548691675,NA,NA,NA,"ldvb"
"slice",2,20261404,76.709,0.369023187827668,0.287142340378229,0.473409093039726,-0.113670294685711,-0.47923868791956,0.243454039531573,NA,NA,NA,"ldvb"
"slice",3,20261405,75.182,0.374732820048787,0.300121017027744,0.460143632182968,-0.0574665900248513,-0.350238640566805,0.208270463989995,NA,NA,NA,"ldvb"
"slice",4,20261406,73.273,0.375255949238257,0.300323320791535,0.467147848710109,-0.0385572840670842,-0.333894428221401,0.258415909524426,NA,NA,NA,"ldvb"
"laplace_rw",1,20261503,39.669,0.363949942613257,0.252044458488326,0.450982258528033,-0.0784208477884949,-0.622396179856394,0.170239996249727,0.379,0.341,0.455,"ldvb"
"laplace_rw",2,20261504,39.7140000000001,0.357491181008138,0.274127723351417,0.460321162743491,0.097509204512015,-0.3819457447579,0.577627945949166,0.306333333333333,0.3475,0.224,"ldvb"
"laplace_rw",3,20261505,39.986,0.33626462589141,0.17309271388568,0.450930724051476,-0.113683831276272,-0.757982720963645,0.590651645738218,0.324,0.3375,0.297,"ldvb"
"laplace_rw",4,20261506,41.884,0.372688610503873,0.292478995830084,0.467763526705676,-0.0357627580001952,-0.246374796954783,0.198973286222747,0.309333333333333,0.3505,0.227,"ldvb"
