"trend_df","seasonal_df","CRPS","KL","rank_CRPS","rank_KL"
0.9,0.85,6.49580253145782,0.0374021814722116,1,1
0.9,0.9,8.50936711226568,0.0418128221103216,2,2
0.9,0.95,12.7003341161916,0.138929941050552,3,3
0.9,1,20.3160894835383,0.150118344649617,4,4
