"p0","method","runtime_sec","active_signal_rmse","inactive_signal_mae","holdout_quantile_rmse","holdout_check_loss","rhs_tau","rhs_zeta2","posterior_draws","burn_in","ldvb_iter","ldvb_stop","truth_interval_cover_n","truth_interval_cover_total","truth_interval_cover_all"
0.05,"LDVB",20.9669999999996,0.10687249568374,0.033916417758209,0.674102311661424,0.173489088895217,0.189246646868555,9,3000,NA,301,"joint_converged",7,8,FALSE
0.05,"MCMC",80.4209999999994,0.0719104290478542,0.0404696905710901,0.598451992122383,0.16993309530174,0.356305746445324,9,3000,2000,NA,NA,8,8,TRUE
0.25,"LDVB",10.6940000000004,0.17406231877636,0.0706316252544248,0.426233249209295,0.497696913328322,0.240755050858696,9,3000,NA,172,"joint_converged",5,8,FALSE
0.25,"MCMC",78.6120000000001,0.159746620263827,0.0842642980963182,0.418776982817978,0.497168244416453,0.271664733760895,9,3000,2000,NA,NA,8,8,TRUE
0.5,"LDVB",5.96599999999944,0.178726211760904,0.0813066306722958,0.358019501150655,0.610193988038278,0.251129715180383,9,3000,NA,94,"joint_converged",6,8,FALSE
0.5,"MCMC",82.8689999999997,0.178155086391137,0.0812827559523416,0.364869062635432,0.609953006841229,0.354245447151365,9,3000,2000,NA,NA,8,8,TRUE
