"seed","p0","status","error","ldvb_runtime_sec","mcmc_runtime_sec","runtime_ratio","ldvb_active_rmse","mcmc_active_rmse","active_ratio","ldvb_holdout_rmse","mcmc_holdout_rmse","holdout_ratio","ldvb_check_loss","mcmc_check_loss","check_ratio","ldvb_topk_support_ok","ldvb_sign_support_ok","mcmc_topk_support_ok","mcmc_sign_support_ok"
20260711,0.05,"ok","",21.812,162.143,0.134523229494952,0.068255358752426,0.0439179848923283,1.55415506699054,0.556939387837974,0.419614549613861,1.32726424369813,0.177518411951426,0.170849344185348,1.0390347870393,TRUE,TRUE,TRUE,TRUE
20260711,0.25,"ok","",11.378,152.816,0.0744555543922101,0.159701450838666,0.117815884852665,1.35551713623661,0.356258232518557,0.26388108336081,1.35007113045477,0.478928348860187,0.471376797761278,1.01602020111039,TRUE,TRUE,TRUE,TRUE
20260711,0.5,"ok","",9.21800000000002,143.395,0.0642839708497508,0.15535912042085,0.155140298747444,1.00141047603474,0.457517301370412,0.408829872385758,1.11908970521292,0.604858999549274,0.601665600329928,1.0053075981369,TRUE,TRUE,TRUE,TRUE
20260712,0.05,"ok","",19.788,149.08,0.132734102495305,0.083407069828506,0.0636029474488748,1.31137114196712,0.667245520231659,0.57845310592543,1.15349976237776,0.17316192507895,0.169236310300831,1.02319605509681,TRUE,TRUE,TRUE,TRUE
20260712,0.25,"ok","",13.274,138.62,0.0957581878516809,0.06039721506457,0.0424794451788108,1.42179858541789,0.295780036321044,0.229999322225714,1.28600394757153,0.478344935787098,0.47412060380407,1.00890982578933,TRUE,TRUE,TRUE,TRUE
20260712,0.5,"ok","",7.93900000000008,148.58,0.0534324942791767,0.1918600736805,0.194091324557442,0.988504118450275,0.332694786291312,0.336746082728764,0.987969284142451,0.631940266943105,0.632106562296531,0.999736918799225,TRUE,TRUE,TRUE,TRUE
20260713,NA,"error","Example 4 LDVB did not converge at p0=0.05 (iter=420, stop=max_iter).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260714,0.05,"ok","",21.9080000000001,140.839,0.155553504356038,0.152700117263532,0.178815866653139,0.853951722079195,0.471160728353023,0.454579430898156,1.03647612788398,0.157881774808841,0.157694667541996,1.00118651613121,TRUE,TRUE,TRUE,TRUE
20260714,0.25,"ok","",14.415,140.58,0.102539479300042,0.0991252295408462,0.0959087123453157,1.03353727848988,0.250169857635239,0.242073291685032,1.03344675446782,0.480951234648821,0.480036081424768,1.00190642591144,TRUE,TRUE,TRUE,TRUE
20260714,0.5,"ok","",5.78700000000003,137.049,0.0422257732635775,0.285011695420551,0.264287700791228,1.0784145254103,0.540122404299715,0.522177997125223,1.03436454096741,0.656625003507787,0.654876816076188,1.00266949048842,TRUE,TRUE,TRUE,TRUE
20260715,0.05,"ok","",22.163,138.784,0.159694201060641,0.184009256374959,0.150993751870192,1.21865477276934,0.517152022784474,0.378465565148767,1.36644405834172,0.158324872417813,0.155878096443135,1.01569672731775,TRUE,TRUE,TRUE,TRUE
20260715,0.25,"ok","",12.7469999999998,142.162,0.0896653114052971,0.261861476143694,0.276951969153496,0.9455122378948,0.407773267750152,0.381667220404378,1.06840002481249,0.502915314562941,0.498767518358408,1.0083160912687,TRUE,TRUE,TRUE,TRUE
