"model","label","KL","KL_flipped","CRPS","PPLC"
"M0_no_transfer","M0 no transfer",0.168391440869409,0.111848343498825,0.47036094227415,99.4973261024145
"MREG_direct_regression","MREG direct regression",0.111738718347244,0.0466311915995714,0.347266511929335,151.07271098034
"MTF_transfer_function","MTF transfer function",0.155404794155661,0.0908504284875367,0.365961398610787,125.317903130674
