"p0","model","horizon","mean_check_loss","mean_abs_error"
0.05,"direct_regression",30,0.0197039258663451,0.394078517326901
0.05,"transfer_function",30,0.0140003969540419,0.255107783166759
0.2,"direct_regression",30,0.0607424167495054,0.298492491219236
0.2,"transfer_function",30,0.0557715635647281,0.201026989040054
0.35,"direct_regression",30,0.0864288725139076,0.244043018574456
0.35,"transfer_function",30,0.0781813287746068,0.182918130714768
0.5,"direct_regression",30,0.103841501197924,0.207683002395848
0.5,"transfer_function",30,0.0888328163019796,0.177665632603959
0.65,"direct_regression",30,0.1089619520059,0.172876702811729
0.65,"transfer_function",30,0.087650862219547,0.183802033031373
0.8,"direct_regression",30,0.10105166447969,0.141391135177876
0.8,"transfer_function",30,0.0731804944615509,0.210038708049538
0.95,"direct_regression",30,0.0387304533036927,0.08808340138526
0.95,"transfer_function",30,0.0335990220045516,0.289619037810441
