"date","model","model_label","p0","tau_label","phase","estimate","lower","upper"
2022-11-26,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",0.951210414353928,0.946856696047706,0.95556945996778
2022-11-27,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",0.949944588110034,0.945742572209385,0.953940072017919
2022-11-28,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",0.949986349723912,0.945847469602762,0.954130381349973
2022-11-29,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",0.950395454934369,0.946217293360501,0.954852227697616
2022-11-30,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",0.949497230153315,0.944861678583859,0.95411942300449
2022-12-01,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.02362459404054,1.01928244360444,1.02775625306616
2022-12-02,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.38849449021523,1.37853708720128,1.39835890988522
2022-12-03,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.23504274100739,1.23094144002515,1.23922422484318
2022-12-04,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.57088102480497,1.56426858691918,1.57748037660311
2022-12-05,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.3772732606666,1.37229554188206,1.38188308358469
2022-12-06,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.44048419622849,1.43554024578168,1.44560772505931
2022-12-07,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.32769698250041,1.32236798300591,1.33269262182545
2022-12-08,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.26587877404996,1.26115865630382,1.27071710259847
2022-12-09,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.3511320036824,1.34674489133392,1.35584626089116
2022-12-10,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.42507717197902,1.42010296615655,1.42997798399842
2022-12-11,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.81787028992437,1.80556765587154,1.83079428663496
2022-12-12,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.54979498381169,1.54329523028326,1.55578636058197
2022-12-13,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.3203180082024,1.31475427494855,1.32556219501307
2022-12-14,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.28445216798854,1.27935722541936,1.28934940751413
2022-12-15,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.25999592514849,1.25559546617234,1.26439912525761
2022-12-16,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.24096530228108,1.23645528222404,1.24546487486593
2022-12-17,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.22450370990965,1.22030170567699,1.22874911726544
2022-12-18,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.21173041935828,1.20759500664035,1.2157170625249
2022-12-19,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.20318657472488,1.1988016303452,1.20734290931708
2022-12-20,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.19798984021122,1.19394198262497,1.20197568866411
2022-12-21,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.18902400641725,1.18493776994221,1.19313573879585
2022-12-22,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.17929518018666,1.17517122367741,1.18329486608861
2022-12-23,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.17885581600027,1.17471726073433,1.18301510218842
2022-12-24,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.1762729155194,1.17203170578671,1.18031744992657
2022-12-25,"direct_regression","Direct regression",0.05,"tau = 0.05","fit",1.16847302877537,1.16392341060508,1.1727805715579
2022-12-26,"direct_regression","Direct regression",0.05,"tau = 0.05","forecast",1.16194732614057,1.15771193850356,1.16618271377758
2022-12-27,"direct_regression","Direct regression",0.05,"tau = 0.05","forecast",1.48438373482591,1.47704688957567,1.49172058007616
2022-12-28,"direct_regression","Direct regression",0.05,"tau = 0.05","forecast",1.57918324792059,1.57274370091822,1.58562279492295
2022-12-29,"direct_regression","Direct regression",0.05,"tau = 0.05","forecast",1.41512411297199,1.40945462340956,1.42079360253442
2022-12-30,"direct_regression","Direct regression",0.05,"tau = 0.05","forecast",1.59749800003541,1.59115179942623,1.6038442006446
2022-12-31,"direct_regression","Direct regression",0.05,"tau = 0.05","forecast",1.79299395462278,1.78245177488158,1.80353613436398
2023-01-01,"direct_regression","Direct regression",0.05,"tau = 0.05","forecast",1.80259158978712,1.78966851760123,1.81551466197301
2023-01-02,"direct_regression","Direct regression",0.05,"tau = 0.05","forecast",1.38413887988393,1.37854433343138,1.38973342633648
2023-01-03,"direct_regression","Direct regression",0.05,"tau = 0.05","forecast",1.55685601796365,1.55119808631834,1.56251394960895
2023-01-04,"direct_regression","Direct regression",0.05,"tau = 0.05","forecast",1.46594176925018,1.45996573569456,1.47191780280579
2023-01-05,"direct_regression","Direct regression",0.05,"tau = 0.05","forecast",1.75123843024635,1.74220629206784,1.76027056842486
2023-01-06,"direct_regression","Direct regression",0.05,"tau = 0.05","forecast",1.54263828542121,1.53722912798362,1.54804744285879
2023-01-07,"direct_regression","Direct regression",0.05,"tau = 0.05","forecast",1.39744302584927,1.39183761239578,1.40304843930276
2023-01-08,"direct_regression","Direct regression",0.05,"tau = 0.05","forecast",1.7019306897242,1.69410318001351,1.70975819943488
2023-01-09,"direct_regression","Direct regression",0.05,"tau = 0.05","forecast",1.79603025878313,1.78659857620317,1.80546194136309
2023-01-10,"direct_regression","Direct regression",0.05,"tau = 0.05","forecast",1.66689073216057,1.65977532602631,1.67400613829483
