"case_label","p","q","p_recovered","abs_error","p0","gamma","mu","sigma","facet"
"inv_A",0.296875,0.984502121806145,0.296874997361998,2.63800248312407e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.3,1,0.3,0,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.303125,1.01534074544907,0.303125001898985,1.89898513580644e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.30625,1.03054432570934,0.306249995245,4.75499972729665e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.309375,1.04563249647617,0.309374999341631,6.58368859429714e-10,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.3125,1.06062507629395,0.312500005947453,5.9474529745529e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.315625,1.07554024457932,0.315625007628415,7.62841517731871e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.31875,1.09039469063282,0.318750001088266,1.08826614386714e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.321875,1.10520376265049,0.32187499477345,5.22654969303815e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.325,1.11998154222965,0.325000004094788,4.09478817520181e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.328125,1.13474069535732,0.328125001764603,1.76460335232775e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.33125,1.14949291944504,0.331249996298275,3.70172509311928e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.334375,1.16424886882305,0.334375001744645,1.74464520608097e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.3375,1.17901808023453,0.337500008272006,8.27200563602304e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.340625,1.19380912184715,0.340625000843452,8.43452030441227e-10,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.34375,1.20862981677055,0.34374999387019,6.12980977088284e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.346875,1.22348716855049,0.346875002865352,2.86535251081688e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.35,1.23838721215725,0.350000000824299,8.24298629353848e-10,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.353125,1.25333546102047,0.353124999821277,1.78723147392645e-10,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.35625,1.26833668351173,0.356249991513369,8.4866306204745e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.359375,1.28339520096779,0.359374996869844,3.13015563468966e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.3625,1.29851466417313,0.362500007253765,7.25376475552153e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.365625,1.3136982023716,0.365625003645812,3.6458115970639e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.36875,1.32894864678383,0.368749991018528,8.98147162198271e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.371875,1.34426860511303,0.371875001944875,1.94487470572824e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.375,1.35966001451015,0.3749999950311,4.96889979162418e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.378125,1.37512488663197,0.378124997266178,2.73382189108773e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.38125,1.39066486060619,0.381250004013013,4.01301303298851e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.384375,1.40628135204315,0.384375001710161,1.71016117933576e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.3875,1.42197570204735,0.387499990830585,9.16941528261717e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.390625,1.4377493262291,0.390625009039787,9.03978736310762e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.39375,1.45360311865807,0.393750007993852,7.99385230232375e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.396875,1.46953819692135,0.396874997006938,2.99306246454023e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.4,1.48555567860603,0.399999994594873,5.40512729019227e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.403125,1.5016565322876,0.40312499653707,3.46293010933252e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.40625,1.51784172654152,0.406250002877522,2.87752244254591e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.409375,1.53411215543747,0.409375001747216,1.74721570544989e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.4125,1.55046878755093,0.412499996676455,3.32354532783796e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.415625,1.56691259145737,0.415624990998629,9.00137075987573e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.41875,1.58344461023808,0.418750001084817,1.0848172915523e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.421875,1.60006566345692,0.421874999495945,5.0405474238957e-10,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.425,1.61677679419518,0.42499999906657,9.33430388538881e-10,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.428125,1.63357897102833,0.428124996203644,3.79635634040199e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.43125,1.65047323703766,0.431249998554746,1.44525436063248e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
"inv_A",0.434375,1.66746056079865,0.434374997164356,2.83564388636748e-09,0.3,0.1,1,1,"inv_A
p0=0.30, gamma=0.100, mu=1.00, sigma=1.00"
