"x","density","p0","p0_label"
-8,0.000142006331350212,0.15,"p0 = 0.15"
-7.98666666666667,0.000143624890952047,0.15,"p0 = 0.15"
-7.97333333333333,0.000145261898570668,0.15,"p0 = 0.15"
-7.96,0.000146917564472862,0.15,"p0 = 0.15"
-7.94666666666667,0.000148592101321992,0.15,"p0 = 0.15"
-7.93333333333333,0.000150285724205315,0.15,"p0 = 0.15"
-7.92,0.000151998650661609,0.15,"p0 = 0.15"
-7.90666666666667,0.000153731100709118,0.15,"p0 = 0.15"
-7.89333333333333,0.000155483296873806,0.15,"p0 = 0.15"
-7.88,0.000157255464217946,0.15,"p0 = 0.15"
-7.86666666666667,0.000159047830369023,0.15,"p0 = 0.15"
-7.85333333333333,0.000160860625548978,0.15,"p0 = 0.15"
-7.84,0.000162694082603771,0.15,"p0 = 0.15"
-7.82666666666667,0.000164548437033296,0.15,"p0 = 0.15"
-7.81333333333333,0.000166423927021628,0.15,"p0 = 0.15"
-7.8,0.000168320793467614,0.15,"p0 = 0.15"
-7.78666666666667,0.000170239280015819,0.15,"p0 = 0.15"
-7.77333333333333,0.00017217963308782,0.15,"p0 = 0.15"
-7.76,0.000174142101913856,0.15,"p0 = 0.15"
-7.74666666666667,0.000176126938564844,0.15,"p0 = 0.15"
-7.73333333333333,0.000178134397984754,0.15,"p0 = 0.15"
-7.72,0.000180164738023355,0.15,"p0 = 0.15"
-7.70666666666667,0.000182218219469337,0.15,"p0 = 0.15"
-7.69333333333333,0.000184295106083807,0.15,"p0 = 0.15"
-7.68,0.000186395664634167,0.15,"p0 = 0.15"
-7.66666666666667,0.000188520164928382,0.15,"p0 = 0.15"
-7.65333333333333,0.000190668879849632,0.15,"p0 = 0.15"
-7.64,0.000192842085391366,0.15,"p0 = 0.15"
-7.62666666666667,0.00019504006069275,0.15,"p0 = 0.15"
-7.61333333333333,0.000197263088074522,0.15,"p0 = 0.15"
-7.6,0.000199511453075256,0.15,"p0 = 0.15"
-7.58666666666667,0.000201785444488037,0.15,"p0 = 0.15"
-7.57333333333333,0.000204085354397554,0.15,"p0 = 0.15"
-7.56,0.000206411478217619,0.15,"p0 = 0.15"
-7.54666666666667,0.000208764114729114,0.15,"p0 = 0.15"
-7.53333333333333,0.000211143566118362,0.15,"p0 = 0.15"
-7.52,0.000213550138015945,0.15,"p0 = 0.15"
-7.50666666666667,0.000215984139535964,0.15,"p0 = 0.15"
-7.49333333333333,0.000218445883315738,0.15,"p0 = 0.15"
-7.48,0.000220935685555962,0.15,"p0 = 0.15"
-7.46666666666667,0.000223453866061326,0.15,"p0 = 0.15"
-7.45333333333333,0.000226000748281589,0.15,"p0 = 0.15"
-7.44,0.000228576659353122,0.15,"p0 = 0.15"
-7.42666666666667,0.000231181930140935,0.15,"p0 = 0.15"
-7.41333333333333,0.000233816895281168,0.15,"p0 = 0.15"
-7.4,0.000236481893224077,0.15,"p0 = 0.15"
-7.38666666666667,0.000239177266277506,0.15,"p0 = 0.15"
-7.37333333333333,0.000241903360650856,0.15,"p0 = 0.15"
-7.36,0.000244660526499552,0.15,"p0 = 0.15"
-7.34666666666667,0.00024744911797002,0.15,"p0 = 0.15"
-7.33333333333333,0.000250269493245176,0.15,"p0 = 0.15"
-7.32,0.000253122014590433,0.15,"p0 = 0.15"
-7.30666666666667,0.000256007048400233,0.15,"p0 = 0.15"
-7.29333333333333,0.000258924965245106,0.15,"p0 = 0.15"
-7.28,0.000261876139919273,0.15,"p0 = 0.15"
-7.26666666666667,0.000264860951488781,0.15,"p0 = 0.15"
-7.25333333333333,0.0002678797833402,0.15,"p0 = 0.15"
-7.24,0.000270933023229858,0.15,"p0 = 0.15"
-7.22666666666667,0.000274021063333656,0.15,"p0 = 0.15"
-7.21333333333333,0.000277144300297434,0.15,"p0 = 0.15"
