"x","density","case_label","p0","gamma","mu","sigma","facet"
-9.14,0.0167054305116631,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-9.12,0.016756587979058,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-9.1,0.0168079021072744,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-9.08,0.016859373376059,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-9.06,0.0169110022666273,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-9.04,0.0169627892616685,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-9.02,0.01701473484535,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-9,0.0170668395033218,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.98,0.0171191037227213,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.96,0.0171715279921774,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.94,0.0172241128018155,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.92,0.017276858643262,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.9,0.0173297660096486,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.88,0.0173828353956174,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.86,0.0174360672973251,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.84,0.0174894622124477,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.82,0.0175430206401854,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.8,0.017596743081267,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.78,0.0176506300379549,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.76,0.0177046820140494,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.74,0.0177588995148937,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.72,0.0178132830473783,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.7,0.0178678331199463,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.68,0.0179225502425976,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.66,0.017977434926894,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
-8.64,0.0180324876859637,"case_A",0.6,0.338102392610158,2,1.5,"case_A
p0=0.60, gamma=0.338, mu=2.00, sigma=1.50"
