"x","cdf","case_label","p0","gamma","mu","sigma","facet"
-9.1,0.171453165484415,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-9.08,0.171840567508069,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-9.06,0.172228844874721,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-9.04,0.172617999562227,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-9.02,0.173008033552912,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-9,0.17339894883358,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.98,0.173790747395524,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.96,0.174183431234537,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.94,0.174577002350921,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.92,0.174971462749497,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.9,0.175366814439618,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.88,0.175763059435175,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.86,0.176160199754611,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.84,0.176558237420929,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.82,0.176957174461702,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.8,0.177357012909087,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.78,0.177757754799831,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.76,0.178159402175282,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-8.74,0.178561957081403,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
