"x","density","gamma","gamma_label","p0"
-8,0.0225684488670897,-1.01769180900079,"gamma = -1.018",0.6
-7.98666666666667,0.0226804117159589,-1.01769180900079,"gamma = -1.018",0.6
-7.97333333333333,0.0227927713762504,-1.01769180900079,"gamma = -1.018",0.6
-7.96,0.0229055281971112,-1.01769180900079,"gamma = -1.018",0.6
-7.94666666666667,0.0230186825203531,-1.01769180900079,"gamma = -1.018",0.6
-7.93333333333333,0.0231322346803998,-1.01769180900079,"gamma = -1.018",0.6
-7.92,0.0232461850042335,-1.01769180900079,"gamma = -1.018",0.6
-7.90666666666667,0.0233605338113414,-1.01769180900079,"gamma = -1.018",0.6
-7.89333333333333,0.0234752814136623,-1.01769180900079,"gamma = -1.018",0.6
-7.88,0.0235904281155338,-1.01769180900079,"gamma = -1.018",0.6
-7.86666666666667,0.0237059742136379,-1.01769180900079,"gamma = -1.018",0.6
-7.85333333333333,0.0238219199969481,-1.01769180900079,"gamma = -1.018",0.6
-7.84,0.0239382657466752,-1.01769180900079,"gamma = -1.018",0.6
-7.82666666666667,0.024055011736214,-1.01769180900079,"gamma = -1.018",0.6
-7.81333333333333,0.0241721582310894,-1.01769180900079,"gamma = -1.018",0.6
-7.8,0.0242897054889026,-1.01769180900079,"gamma = -1.018",0.6
-7.78666666666667,0.0244076537592769,-1.01769180900079,"gamma = -1.018",0.6
-7.77333333333333,0.0245260032838041,-1.01769180900079,"gamma = -1.018",0.6
-7.76,0.0246447542959901,-1.01769180900079,"gamma = -1.018",0.6
-7.74666666666667,0.0247639070212014,-1.01769180900079,"gamma = -1.018",0.6
-7.73333333333333,0.0248834616766101,-1.01769180900079,"gamma = -1.018",0.6
-7.72,0.0250034184711405,-1.01769180900079,"gamma = -1.018",0.6
-7.70666666666667,0.0251237776054145,-1.01769180900079,"gamma = -1.018",0.6
-7.69333333333333,0.0252445392716969,-1.01769180900079,"gamma = -1.018",0.6
-7.68,0.0253657036538418,-1.01769180900079,"gamma = -1.018",0.6
-7.66666666666667,0.0254872709272376,-1.01769180900079,"gamma = -1.018",0.6
-7.65333333333333,0.0256092412587527,-1.01769180900079,"gamma = -1.018",0.6
-7.64,0.0257316148066809,-1.01769180900079,"gamma = -1.018",0.6
-7.62666666666667,0.025854391720687,-1.01769180900079,"gamma = -1.018",0.6
-7.61333333333333,0.0259775721417518,-1.01769180900079,"gamma = -1.018",0.6
-7.6,0.026101156202118,-1.01769180900079,"gamma = -1.018",0.6
-7.58666666666667,0.0262251440252348,-1.01769180900079,"gamma = -1.018",0.6
-7.57333333333333,0.0263495357257036,-1.01769180900079,"gamma = -1.018",0.6
-7.56,0.026474331409223,-1.01769180900079,"gamma = -1.018",0.6
-7.54666666666667,0.026599531172534,-1.01769180900079,"gamma = -1.018",0.6
-7.53333333333333,0.0267251351033649,-1.01769180900079,"gamma = -1.018",0.6
-7.52,0.0268511432803768,-1.01769180900079,"gamma = -1.018",0.6
-7.50666666666667,0.026977555773108,-1.01769180900079,"gamma = -1.018",0.6
-7.49333333333333,0.0271043726419193,-1.01769180900079,"gamma = -1.018",0.6
-7.48,0.0272315939379392,-1.01769180900079,"gamma = -1.018",0.6
-7.46666666666667,0.027359219703008,-1.01769180900079,"gamma = -1.018",0.6
-7.45333333333333,0.0274872499696235,-1.01769180900079,"gamma = -1.018",0.6
-7.44,0.0276156847608852,-1.01769180900079,"gamma = -1.018",0.6
-7.42666666666667,0.0277445240904396,-1.01769180900079,"gamma = -1.018",0.6
-7.41333333333333,0.0278737679624242,-1.01769180900079,"gamma = -1.018",0.6
-7.4,0.028003416371413,-1.01769180900079,"gamma = -1.018",0.6
-7.38666666666667,0.0281334693023608,-1.01769180900079,"gamma = -1.018",0.6
-7.37333333333333,0.0282639267305475,-1.01769180900079,"gamma = -1.018",0.6
-7.36,0.0283947886215235,-1.01769180900079,"gamma = -1.018",0.6
-7.34666666666667,0.0285260549310535,-1.01769180900079,"gamma = -1.018",0.6
-7.33333333333333,0.0286577256050615,-1.01769180900079,"gamma = -1.018",0.6
-7.32,0.0287898005795751,-1.01769180900079,"gamma = -1.018",0.6
-7.30666666666667,0.0289222797806703,-1.01769180900079,"gamma = -1.018",0.6
-7.29333333333333,0.0290551631244152,-1.01769180900079,"gamma = -1.018",0.6
-7.28,0.0291884505168155,-1.01769180900079,"gamma = -1.018",0.6
-7.26666666666667,0.0293221418537579,-1.01769180900079,"gamma = -1.018",0.6
-7.25333333333333,0.0294562370209553,-1.01769180900079,"gamma = -1.018",0.6
-7.24,0.0295907358938903,-1.01769180900079,"gamma = -1.018",0.6
-7.22666666666667,0.0297256383377603,-1.01769180900079,"gamma = -1.018",0.6
-7.21333333333333,0.0298609442074215,-1.01769180900079,"gamma = -1.018",0.6
-7.2,0.0299966533473328,-1.01769180900079,"gamma = -1.018",0.6
-7.18666666666667,0.0301327655915009,-1.01769180900079,"gamma = -1.018",0.6
-7.17333333333333,0.0302692807634236,-1.01769180900079,"gamma = -1.018",0.6
-7.16,0.0304061986760347,-1.01769180900079,"gamma = -1.018",0.6
-7.14666666666667,0.0305435191316479,-1.01769180900079,"gamma = -1.018",0.6
-7.13333333333333,0.0306812419219008,-1.01769180900079,"gamma = -1.018",0.6
-7.12,0.0308193668276996,-1.01769180900079,"gamma = -1.018",0.6
-7.10666666666667,0.0309578936191625,-1.01769180900079,"gamma = -1.018",0.6
-7.09333333333333,0.0310968220555645,-1.01769180900079,"gamma = -1.018",0.6
-7.08,0.031236151885281,-1.01769180900079,"gamma = -1.018",0.6
-7.06666666666667,0.0313758828457322,-1.01769180900079,"gamma = -1.018",0.6
-7.05333333333333,0.0315160146633269,-1.01769180900079,"gamma = -1.018",0.6
-7.04,0.0316565470534066,-1.01769180900079,"gamma = -1.018",0.6
-7.02666666666667,0.0317974797201898,-1.01769180900079,"gamma = -1.018",0.6
-7.01333333333333,0.0319388123567156,-1.01769180900079,"gamma = -1.018",0.6
-7,0.032080544644788,-1.01769180900079,"gamma = -1.018",0.6
-6.98666666666667,0.0322226762549198,-1.01769180900079,"gamma = -1.018",0.6
-6.97333333333333,0.0323652068462764,-1.01769180900079,"gamma = -1.018",0.6
-6.96,0.0325081360666199,-1.01769180900079,"gamma = -1.018",0.6
-6.94666666666667,0.0326514635522532,-1.01769180900079,"gamma = -1.018",0.6
-6.93333333333333,0.0327951889279636,-1.01769180900079,"gamma = -1.018",0.6
-6.92,0.0329393118069669,-1.01769180900079,"gamma = -1.018",0.6
-6.90666666666667,0.0330838317908512,-1.01769180900079,"gamma = -1.018",0.6
-6.89333333333333,0.033228748469521,-1.01769180900079,"gamma = -1.018",0.6
-6.88,0.0333740614211407,-1.01769180900079,"gamma = -1.018",0.6
-6.86666666666667,0.0335197702120787,-1.01769180900079,"gamma = -1.018",0.6
-6.85333333333333,0.0336658743968516,-1.01769180900079,"gamma = -1.018",0.6
-6.84,0.0338123735180671,-1.01769180900079,"gamma = -1.018",0.6
-6.82666666666667,0.0339592671063687,-1.01769180900079,"gamma = -1.018",0.6
-6.81333333333333,0.0341065546803792,-1.01769180900079,"gamma = -1.018",0.6
-6.8,0.0342542357466444,-1.01769180900079,"gamma = -1.018",0.6
-6.78666666666667,0.034402309799577,-1.01769180900079,"gamma = -1.018",0.6
-6.77333333333333,0.0345507763214005,-1.01769180900079,"gamma = -1.018",0.6
-6.76,0.0346996347820926,-1.01769180900079,"gamma = -1.018",0.6
-6.74666666666667,0.0348488846393293,-1.01769180900079,"gamma = -1.018",0.6
-6.73333333333333,0.0349985253384285,-1.01769180900079,"gamma = -1.018",0.6
