"file","description"
"exal_data_01_al_density_by_p0.csv","Underlying data for AL density by p0 figure"
"exal_data_02_al_cdf_by_p0.csv","Underlying data for AL CDF by p0 figure"
"exal_data_03_exal_density_gamma_sweep.csv","Underlying data for exAL density gamma sweep"
"exal_data_04_exal_cdf_gamma_sweep.csv","Underlying data for exAL CDF gamma sweep"
"exal_data_05_exal_location_scale_density.csv","Underlying data for location-scale density figure"
"exal_data_05_location_scale_cases.csv","Case metadata for location-scale density/cdf scripts"
"exal_data_06_exal_location_scale_cdf.csv","Underlying data for location-scale CDF figure"
"exal_tab_02_gamma_bounds_reference_grid.csv","Reference gamma bounds on p0 grid with residual diagnostics and plot-domain flags"
"exal_data_08_qexal_pexal_inversion.csv","Underlying inversion-check data"
"exal_data_09_qexal_p0_identity.csv","Underlying identity-check data"
"exal_data_10_rexal_density_grid.csv","Density grid data for rexal overlay figure"
"exal_data_10_sampling_quantiles.csv","Sample-vs-theoretical quantile diagnostics for rexal cases"
"exal_tab_01_inversion_error_summary.csv","Case-wise inversion error summary for qexal->pexal checks"
"exal_tab_03_sampling_fit_summary.csv","Case-wise sampling quantile fit summary"
"exal_data_11_identity_summary.csv","Identity-check summary metrics"
"exal_figure_manifest.csv","Figure manifest with metadata, size, and hash"
