"case_label","p0","gamma","mu","sigma","max_abs_error","mean_abs_error","rmse"
"inv_A",0.3,0.232014742954388,1,1,9.93463111775839e-09,4.40764637682432e-09,5.32207400475627e-09
"inv_B",0.5,0,-1,0.9,5.55111512312578e-17,2.05596856412066e-18,0
"inv_C",0.8,-0.375164840976138,2.5,1.8,9.97823657034047e-09,4.32603158919385e-09,5.22994401593155e-09
