"case_id","p0","gamma","mu","sigma","qhat","abs_error","case_label"
"id_01",0.1,0.05,-5,1,-5,0,"id_01 | p0=0.10, gamma=0.050, mu=-5.00"
"id_02",0.1,0,-5,1,-5,0,"id_02 | p0=0.10, gamma=0.000, mu=-5.00"
"id_03",0.1,0.05,-5,1,-5,0,"id_03 | p0=0.10, gamma=0.050, mu=-5.00"
"id_04",0.5,0.05,3,1,3,0,"id_04 | p0=0.50, gamma=0.050, mu=3.00"
"id_05",0.5,0,3,1,3,0,"id_05 | p0=0.50, gamma=0.000, mu=3.00"
"id_06",0.5,0.05,3,1,3,0,"id_06 | p0=0.50, gamma=0.050, mu=3.00"
"id_07",0.85,0.05,10,1,10,0,"id_07 | p0=0.85, gamma=0.050, mu=10.00"
"id_08",0.85,0,10,1,10,0,"id_08 | p0=0.85, gamma=0.000, mu=10.00"
"id_09",0.85,0.05,10,1,10,0,"id_09 | p0=0.85, gamma=0.050, mu=10.00"
