"p0","model","horizon","mean_check_loss","mean_abs_error"
0.05,"direct_regression",30,0.0238493345841357,0.476986691682714
0.05,"transfer_function",30,0.0268874595504037,0.19352999093746
0.5,"direct_regression",30,0.163589132370597,0.327178264741194
0.5,"transfer_function",30,0.102743270140149,0.205486540280298
0.95,"direct_regression",30,0.0867711465395419,0.120304654688695
0.95,"transfer_function",30,0.042523561261079,0.330030165645532
