"date","period_label","state","state_label","p0","tau_label","estimate","lower","upper"
1997-01-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",0.0196202408684582,-0.82208421217848,0.861324693915396
1997-02-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.00359614859516846,-0.838865643078833,0.831673345888496
1997-03-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.019583671343974,-0.862712592591203,0.823545249903255
1997-04-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.0307205675822081,-0.879012141295446,0.817571006131029
1997-05-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.039306834976387,-0.890115288685037,0.811501618732263
1997-06-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.046529643710503,-0.897283245662602,0.804223958241596
1997-07-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.0551194209981782,-0.902948304864863,0.792709462868506
1997-08-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.0649083695036717,-0.906585811966006,0.776769072958663
1997-09-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.0752758886727506,-0.906815979965046,0.756264202619545
1997-10-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.0877381828167508,-0.905803603602076,0.730327237968575
1997-11-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.108360498154889,-0.907651917678306,0.690930921368528
1997-12-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.112417110479572,-0.887377843596398,0.662543622637255
1998-01-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.128892692058394,-0.870034278635003,0.612248894518215
1998-02-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.146913756279878,-0.846321998341289,0.552494485781532
1998-03-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.180594979524965,-0.870436464733405,0.509246505683476
1998-04-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.188229786204226,-0.883247273780256,0.506787701371804
1998-05-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.197479040337834,-0.902068133517349,0.50711005284168
1998-06-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.206984465140037,-0.920620620396267,0.506651690116193
1998-07-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.21650503579601,-0.939142010889913,0.506131939297893
1998-08-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.226313718574824,-0.957000486480095,0.504373049330448
1998-09-01,"1997-1999 comparison window","flow_lag1","Monthly flow (lag 1)",0.15,"tau = 0.15",-0.236743669719944,-0.974446903314006,0.500959563874119
