"p0","model","iter","converged","stop_reason","delta_state","delta_sigma","delta_gamma","delta_s","delta_elbo","committed_local_pass","committed_grad_inf","committed_min_eig","candidate_local_pass","candidate_grad_inf","candidate_min_eig"
0.05,"direct_regression",400,FALSE,"max_iter",1.06350439565972e-09,4.28641410560315e-11,2.06043022643598e-08,1.3645830909681e-08,-2.31209996854886e-05,TRUE,0.000377093978434652,1340.85520751181,TRUE,0.000338456724288039,1340.85513648509
0.05,"transfer_function",400,FALSE,"max_iter",2.05198524838579e-09,4.01185274237492e-11,2.0108502640781e-08,3.51530737852102e-08,-1.01128534879535e-07,TRUE,0.000388630162203432,1325.12984657232,TRUE,0.000349168639015602,1325.129771901
0.5,"direct_regression",257,TRUE,"joint_converged",8.02367061680798e-11,1.05404573957912e-12,1.76862705036918e-10,1.59797397536465e-10,-2.43730028159916e-07,TRUE,0.000372824322761364,997.991890918331,TRUE,0.000372105860558949,997.991892539608
0.5,"transfer_function",400,FALSE,"max_iter",7.19026838069681e-10,6.76542155630955e-17,1.80411241501588e-15,1.50727752501467e-09,-5.65932568861172e-05,TRUE,0.0004465501543685,1015.11717281286,TRUE,0.0004465501543685,1015.11717281286
