"p0","model","iter","converged","stop_reason","delta_state","delta_sigma","delta_gamma","delta_s","delta_elbo","committed_local_pass","committed_grad_inf","committed_min_eig","candidate_local_pass","candidate_grad_inf","candidate_min_eig"
0.05,"direct_regression",300,FALSE,"max_iter",7.11484058335543e-08,5.45033865609335e-09,2.7079601483404e-06,1.34840141818859e-06,-0.00339724931109231,FALSE,0.00839124615600312,1340.8904033108,TRUE,0.00147274297394947,1340.88113477226
0.05,"transfer_function",300,FALSE,"max_iter",9.92458113469041e-08,5.53771046726825e-09,2.79856477325424e-06,1.6887356915074e-06,-0.00330650475370931,FALSE,0.00937512304580504,1325.17921105357,TRUE,0.00148186035334669,1325.16884312669
0.5,"direct_regression",257,TRUE,"joint_converged",8.02367061680798e-11,1.05404573957912e-12,1.76862705036918e-10,1.59797397536465e-10,-2.43730028159916e-07,TRUE,0.000372824322761364,997.991890918331,TRUE,0.000372105860558949,997.991892539608
0.5,"transfer_function",300,FALSE,"max_iter",8.27144353010567e-10,3.52932960634433e-13,4.2251729892584e-11,2.90098722821597e-09,-5.30018587596714e-05,TRUE,0.0004438025384144,1015.11717122993,TRUE,0.000443813402965465,1015.11717223679
