"p0","model","iter","converged","stop_reason","delta_state","delta_sigma","delta_gamma","delta_s","delta_elbo","committed_local_pass","committed_grad_inf","committed_min_eig","candidate_local_pass","candidate_grad_inf","candidate_min_eig"
0.05,"direct_regression",1000,FALSE,"max_iter",3.63034047268229e-11,1.61773372475693e-12,2.87799117870691e-10,1.44245948519028e-10,0.000130844069644809,TRUE,0.00335849705734206,14596.113465613,TRUE,0.00335478642786375,14596.1134592414
0.05,"transfer_function",1000,FALSE,"max_iter",3.92422316863872e-09,2.01365660257302e-12,4.10252498639352e-10,2.2411158928648e-08,-0.00266061897855252,TRUE,0.00335110022839928,14757.3552674443,TRUE,0.00334532664471365,14757.3552586782
0.2,"direct_regression",1000,FALSE,"max_iter",4.58908466782759e-11,5.53619650123238e-13,5.35531063938777e-11,3.42553096999154e-10,-0.000669424771331251,TRUE,0.00334508485775064,5028.57668710076,TRUE,0.00334404372952986,5028.57669014748
0.2,"transfer_function",1000,FALSE,"max_iter",1.05683937157153e-08,7.24457299705605e-12,7.08527736481557e-10,1.8015670733007e-08,0.000115511240437627,TRUE,0.00332317237705681,4841.05953897789,TRUE,0.00330842316426245,4841.0594994715
0.35,"direct_regression",1000,FALSE,"max_iter",4.45250503133821e-11,4.85722573273506e-17,1.50296441958631e-14,8.56168469454133e-11,6.35457690805197e-05,TRUE,0.00339765526679248,6629.63555872253,TRUE,0.00339765526679248,6629.63555872253
0.35,"transfer_function",1000,FALSE,"max_iter",5.68984370730163e-09,1.69836367192033e-12,1.44177184080441e-10,1.14655901439775e-08,0.00546355184633285,TRUE,0.003426594870235,6576.35712962722,TRUE,0.00342400090542747,6576.3571159163
0.5,"direct_regression",1000,FALSE,"max_iter",2.30215846386272e-12,5.95842819528514e-14,8.90661155938943e-12,8.52962145359015e-12,-1.7987098544836e-05,TRUE,0.00447829564437397,12621.3873445565,TRUE,0.00447068621809702,12621.3873397607
0.5,"transfer_function",1000,FALSE,"max_iter",3.35613270507906e-09,1.38777878078145e-17,6.93889390390723e-17,1.07137720917194e-08,-0.000841860426589847,TRUE,0.00489740249301276,13035.2738324976,TRUE,0.00489740249301276,13035.2738324976
0.65,"direct_regression",1000,FALSE,"max_iter",4.12290201978749e-11,7.56339435525888e-16,1.63452584800439e-13,3.37986749698871e-10,-0.000172488391399384,TRUE,0.00326780838984538,6988.37836519462,TRUE,0.00326795871541325,6988.37836682245
0.65,"transfer_function",1000,FALSE,"max_iter",3.08901881851398e-09,1.32221317228343e-12,1.21489485138682e-11,1.58978136211019e-08,-0.00107630889397115,TRUE,0.00340877380158821,7715.47669058159,TRUE,0.00341054988916778,7715.47669696435
0.8,"direct_regression",1000,FALSE,"max_iter",3.44524409001679e-11,2.02281247307923e-12,2.53157717011732e-10,3.1598978988967e-10,0.000383200007490814,TRUE,0.00337674846050381,5415.67839580979,TRUE,0.00337236159307543,5415.67838569928
0.8,"transfer_function",1000,FALSE,"max_iter",2.06493488974502e-09,9.0205620750794e-17,2.87547763377916e-14,1.95592544383061e-08,0.000177857698872685,TRUE,0.00333854888556568,6613.02358546312,TRUE,0.00333854888556568,6613.02358546312
0.95,"direct_regression",1000,FALSE,"max_iter",2.29442687071924e-10,1.90557986057271e-12,3.18832515944223e-10,2.723345327027e-09,-0.000352831790223718,TRUE,0.00335225360180328,14393.2892868414,TRUE,0.0033482710907231,14393.2892762234
0.95,"transfer_function",1000,FALSE,"max_iter",3.21359916455322e-09,1.38777878078145e-17,5.32907051820075e-15,1.88157692759816e-08,-0.00149460171815008,TRUE,0.0035783736976685,14930.535134901,TRUE,0.0035783736976685,14930.535134747
