"seed","status","runtime_sec","ess_sigma","ess_gamma","acf1_sigma","acf1_gamma","drift_sigma","drift_gamma","sigma_mean","gamma_mean","sigma_sd","gamma_sd","score","figure","message"
20260616,"ok",204.587,693.4139917301,141.957075614864,0.47745737626109,0.889725316971006,0.0643359188352757,0.0789798680031188,0.372828136740367,-0.0455761116730885,0.0434891584935137,0.165552359338536,7.11743307382526,"/home/jaguir26/local/src/exdqlm---Article/analysis/support/ex1_mcmc_seed_screen/outputs/figures/seed_20260616_trace.png",""
20260608,"ok",204.081,778.409173037214,126.465606405619,0.485830311019924,0.896106108216239,0.0785143969821441,0.0733796183157131,0.372063705625778,-0.0403393762520197,0.0440810328650026,0.164855370917853,7.05678544841561,"/home/jaguir26/local/src/exdqlm---Article/analysis/support/ex1_mcmc_seed_screen/outputs/figures/seed_20260608_trace.png",""
20260615,"ok",204.604,581.709246664731,109.477832322634,0.486074488102457,0.906991872909718,0.0453517959138522,0.0564533039259861,0.370654826575608,-0.0532248880162377,0.0438133080712287,0.173369715813118,6.68969394832859,"/home/jaguir26/local/src/exdqlm---Article/analysis/support/ex1_mcmc_seed_screen/outputs/figures/seed_20260615_trace.png",""
20260614,"ok",205.23,524.437816581702,145.009094796589,0.512603153398072,0.891797394720264,0.0955636374410601,0.117245427772197,0.374647479362078,-0.0649144403554157,0.0456547973918065,0.166322969109256,6.60908098952001,"/home/jaguir26/local/src/exdqlm---Article/analysis/support/ex1_mcmc_seed_screen/outputs/figures/seed_20260614_trace.png",""
20260613,"ok",203.216,529.7610325214,77.0565925263679,0.506663057161174,0.913596729033535,0.0153655620758278,0.0480087214892197,0.372985923482958,-0.0315338686028663,0.0448067617087373,0.179623637810314,6.24421807013488,"/home/jaguir26/local/src/exdqlm---Article/analysis/support/ex1_mcmc_seed_screen/outputs/figures/seed_20260613_trace.png",""
20260610,"ok",205.916,619.150779506977,93.4973932076986,0.494857214444609,0.909680760461325,0.117675302069359,0.160369256165064,0.371641339996164,-0.0427363244828816,0.044509059094292,0.177297053361453,6.20883184905462,"/home/jaguir26/local/src/exdqlm---Article/analysis/support/ex1_mcmc_seed_screen/outputs/figures/seed_20260610_trace.png",""
20260604,"ok",203.23,393.064839390158,101.58834200203,0.47503557348546,0.919637582650475,0.0060009527097763,0.197427695923553,0.368837409527173,-0.0516858364071033,0.0424212983371649,0.183121779351273,6.01636299763348,"/home/jaguir26/local/src/exdqlm---Article/analysis/support/ex1_mcmc_seed_screen/outputs/figures/seed_20260604_trace.png",""
20260612,"ok",205.012,198.024546204316,74.8907825547185,0.541617633633608,0.925687073611072,0.273262311044744,0.177791226206531,0.368208761770143,-0.0738968408937229,0.0454487386514427,0.193315464521013,4.31870220370167,"/home/jaguir26/local/src/exdqlm---Article/analysis/support/ex1_mcmc_seed_screen/outputs/figures/seed_20260612_trace.png",""
20260602,"ok",203.002,157.850273364555,66.4826930792708,0.572447399990194,0.916290086582921,0.17540983162417,0.0737943203360304,0.36887055953567,-0.0680176240331173,0.0474896537469894,0.184913038664083,4.31521248414878,"/home/jaguir26/local/src/exdqlm---Article/analysis/support/ex1_mcmc_seed_screen/outputs/figures/seed_20260602_trace.png",""
20260601,"ok",200.804,219.794161336508,60.0704301665102,0.611242892329401,0.949666121646753,0.0145176712732872,0.402341232512738,0.361769964480394,-0.0629211840064526,0.047413170183152,0.231147324138359,3.99281381236762,"/home/jaguir26/local/src/exdqlm---Article/analysis/support/ex1_mcmc_seed_screen/outputs/figures/seed_20260601_trace.png",""
20260605,"ok",203.698,115.536087494746,55.3683543878424,0.606428167008411,0.937061796800504,0.129864263768952,0.184809989430257,0.367652394166739,-0.0551981352195657,0.0483616699899789,0.203229698345152,3.53029049973567,"/home/jaguir26/local/src/exdqlm---Article/analysis/support/ex1_mcmc_seed_screen/outputs/figures/seed_20260605_trace.png",""
20260611,"ok",205.759,106.421231529809,39.7836240159547,0.648702282640413,0.947951333225382,0.41733917023163,0.31577524422635,0.364734288423272,-0.0767571152141615,0.0515612370435733,0.215502311572361,2.12884880120208,"/home/jaguir26/local/src/exdqlm---Article/analysis/support/ex1_mcmc_seed_screen/outputs/figures/seed_20260611_trace.png",""
20260606,"ok",203.524,58.1736875921835,42.336222061978,0.706688665448338,0.957712722674866,0.290555306064185,0.301852932063085,0.356773540097121,-0.14002389051328,0.054681146354772,0.239699817179926,1.67144515864743,"/home/jaguir26/local/src/exdqlm---Article/analysis/support/ex1_mcmc_seed_screen/outputs/figures/seed_20260606_trace.png",""
20260603,"ok",202.963,42.6475359147331,37.9922267079289,0.688535461867491,0.954825470219784,0.45816181421955,0.332342231042719,0.362396986159419,-0.116729422613024,0.0548769363644103,0.231157804828648,0.928418254008487,"/home/jaguir26/local/src/exdqlm---Article/analysis/support/ex1_mcmc_seed_screen/outputs/figures/seed_20260603_trace.png",""
20260609,"ok",205.359,36.9781728181974,26.9045792302624,0.751713819694124,0.967898730992528,0.397619445864774,0.739251374736185,0.35657967722339,-0.0200870175385284,0.0590040150237344,0.283816813156233,-0.466776892610833,"/home/jaguir26/local/src/exdqlm---Article/analysis/support/ex1_mcmc_seed_screen/outputs/figures/seed_20260609_trace.png",""
20260607,"ok",203.262,26.1698979103342,33.4285079882638,0.795431658789789,0.959363979165029,0.528083987103468,0.599916530772436,0.356430793895437,-0.102501575472231,0.0662300595330995,0.25495772042441,-0.679393341856732,"/home/jaguir26/local/src/exdqlm---Article/analysis/support/ex1_mcmc_seed_screen/outputs/figures/seed_20260607_trace.png",""
